'global_time':8.620668, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.3559407, 'gaze_y':1.56852, 'gaze_z':2.944399, 'useGaze': False
'global_time':16.30558, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.398988, 'gaze_y':1.485727, 'gaze_z':2.996623, 'useGaze': False
'global_time':27.33213, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.0716666, 'gaze_y':2.040253, 'gaze_z':2.938182, 'useGaze': False
'global_time':30.35596, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.2068784, 'gaze_y':1.629399, 'gaze_z':2.945363, 'useGaze': False
'global_time':34.57669, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.5601662, 'gaze_y':1.627512, 'gaze_z':2.944283, 'useGaze': False
'global_time':40.06118, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.558001, 'gaze_y':1.43704, 'gaze_z':2.946876, 'useGaze': False
'global_time':42.77272, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.2078429, 'gaze_y':1.458971, 'gaze_z':2.94684, 'useGaze': False
'global_time':2.833165, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.1864802, 'gaze_y':2.126394, 'gaze_z':2.934124, 'useGaze': True
'global_time':3.788906, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.0576833, 'gaze_y':1.344223, 'gaze_z':2.934176, 'useGaze': True
'global_time':4.744014, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.598282, 'gaze_y':2.174619, 'gaze_z':2.934257, 'useGaze': True
'global_time':6.09738, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.747955, 'gaze_y':1.111681, 'gaze_z':2.940667, 'useGaze': True
