'global_time':4.206365, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':4.687426, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':4.647426,  'useGaze':True, 'useVal':False
'global_time':5.05813, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.3707035,  'useGaze':True, 'useVal':False
'global_time':5.601778, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.5436466,  'useGaze':True, 'useVal':False
'global_time':5.883244, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':5.96012, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':6.128661, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.5268837,  'useGaze':True, 'useVal':False
'global_time':6.452299, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.323639,  'useGaze':True, 'useVal':False
'global_time':6.766221, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.3139222,  'useGaze':True, 'useVal':False
'global_time':7.077505, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.3112836,  'useGaze':True, 'useVal':False
'global_time':7.382029, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.3045233,  'useGaze':True, 'useVal':False
'global_time':7.784585, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':7.931239, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.5492104,  'useGaze':True, 'useVal':False
'global_time':8.295492, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':8.719375, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.7881356,  'useGaze':True, 'useVal':False
'global_time':9.185388, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':9.217169, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.4977922,  'useGaze':True, 'useVal':False
'global_time':9.564643, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':10.09234, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.8751728,  'useGaze':True, 'useVal':False
'global_time':10.35291, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':10.38633, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':10.44073, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.3483893,  'useGaze':True, 'useVal':False
'global_time':10.96357, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.522844,  'useGaze':True, 'useVal':False
'global_time':11.32704, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':11.64158, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':11.81418, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.8506106,  'useGaze':True, 'useVal':False
'global_time':12.13969, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':12.22279, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':12.37305, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':12.75524, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.9410633,  'useGaze':True, 'useVal':False
'global_time':12.99347, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.2382314,  'useGaze':True, 'useVal':False
'global_time':13.53808, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.5445997,  'useGaze':True, 'useVal':False
'global_time':13.78322, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':13.81886, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.2807856,  'useGaze':True, 'useVal':False
'global_time':14.19712, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.3782572,  'useGaze':True, 'useVal':False
'global_time':14.57526, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':14.59757, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':14.66583, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.4687042,  'useGaze':True, 'useVal':False
'global_time':15.05501, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.3891795,  'useGaze':True, 'useVal':False
'global_time':15.17342, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':15.58378, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.5287771,  'useGaze':True, 'useVal':False
'global_time':15.85702, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':16.1929, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.6091234,  'useGaze':True, 'useVal':False
'global_time':16.6508, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':16.80058, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':16.97424, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.7813376,  'useGaze':True, 'useVal':False
'global_time':17.23327, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':17.26855, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.294309,  'useGaze':True, 'useVal':False
'global_time':17.55485, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.2863039,  'useGaze':True, 'useVal':False
'global_time':17.87999, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':5.348356, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':5.695344, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':5.990539, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':6.237063, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':6.197063,  'useGaze':True, 'useVal':False
'global_time':6.640639, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':6.673052, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.4359898,  'useGaze':True, 'useVal':False
'global_time':7.034902, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.36185,  'useGaze':True, 'useVal':False
'global_time':7.319095, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.2841931,  'useGaze':True, 'useVal':False
'global_time':7.960897, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':8.27857, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.9594715,  'useGaze':True, 'useVal':False
'global_time':8.580003, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.3014304,  'useGaze':True, 'useVal':False
'global_time':9.398478, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':6.484227, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':6.444228,  'useGaze':True, 'useVal':True
'global_time':7.075301, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.5910732,  'useGaze':True, 'useVal':True
'global_time':7.844503, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.7692029,  'useGaze':True, 'useVal':True
'global_time':8.37003, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.525526,  'useGaze':True, 'useVal':True
'global_time':8.898373, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.5283421,  'useGaze':True, 'useVal':True
'global_time':9.760055, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.8616833,  'useGaze':True, 'useVal':True
'global_time':10.43756, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.6775014,  'useGaze':True, 'useVal':True
'global_time':14.87894, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':16.97758, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':18.72156, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':8.284,  'useGaze':True, 'useVal':True
'global_time':19.30619, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.5846337,  'useGaze':True, 'useVal':True
'global_time':19.84348, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.5372841,  'useGaze':True, 'useVal':True
'global_time':20.71313, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.8696555,  'useGaze':True, 'useVal':True
'global_time':21.27416, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.5610259,  'useGaze':True, 'useVal':True
'global_time':21.80431, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.5301495,  'useGaze':True, 'useVal':True
'global_time':22.32644, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.5221207,  'useGaze':True, 'useVal':True
'global_time':2.469581, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':3.747308, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':20.8426, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
