'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.04, 'gaze_vector_x':-0.1282654, 'gaze_vector_y':-0.527771, 'gaze_vector_z':0.8396301
'gaze_vector':0.3733333, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4276065, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.441467, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.454369, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.465445, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4752154, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4867216, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4963375, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5062315, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5191497, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5295836, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5399229, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.550107, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5596573, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5700058, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5811129, 'gaze_vector_x':-0.08569781, 'gaze_vector_y':-0.9847341, 'gaze_vector_z':0.1514574
'gaze_vector':0.5922301, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6040769, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6145524, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6250658, 'gaze_vector_x':-0.08406845, 'gaze_vector_y':-0.9838219, 'gaze_vector_z':0.1581436
'gaze_vector':0.6363173, 'gaze_vector_x':-0.07684994, 'gaze_vector_y':-0.9829593, 'gaze_vector_z':0.1668924
'gaze_vector':0.6493737, 'gaze_vector_x':-0.0740153, 'gaze_vector_y':-0.9793199, 'gaze_vector_z':0.1882514
'gaze_vector':0.6605305, 'gaze_vector_x':-0.07684806, 'gaze_vector_y':-0.9774576, 'gaze_vector_z':0.1966382
'gaze_vector':0.6759532, 'gaze_vector_x':-0.08114797, 'gaze_vector_y':-0.971915, 'gaze_vector_z':0.2208663
'gaze_vector':0.688174, 'gaze_vector_x':-0.08384296, 'gaze_vector_y':-0.9683368, 'gaze_vector_z':0.235105
'gaze_vector':0.702654, 'gaze_vector_x':-0.05170888, 'gaze_vector_y':-0.9704812, 'gaze_vector_z':0.2355472
'gaze_vector':0.7126784, 'gaze_vector_x':-0.05141952, 'gaze_vector_y':-0.970533, 'gaze_vector_z':0.2353929
'gaze_vector':0.7253844, 'gaze_vector_x':-0.04980459, 'gaze_vector_y':-0.9678005, 'gaze_vector_z':0.2466899
'gaze_vector':0.7401559, 'gaze_vector_x':-0.08268715, 'gaze_vector_y':-0.9652328, 'gaze_vector_z':0.2479228
'gaze_vector':0.7518336, 'gaze_vector_x':-0.07410526, 'gaze_vector_y':-0.9633029, 'gaze_vector_z':0.2579349
'gaze_vector':0.7630098, 'gaze_vector_x':-0.09476197, 'gaze_vector_y':-0.9572093, 'gaze_vector_z':0.2734217
'gaze_vector':0.7735674, 'gaze_vector_x':-0.0826736, 'gaze_vector_y':-0.9615778, 'gaze_vector_z':0.2617257
'gaze_vector':0.7850268, 'gaze_vector_x':-0.07235131, 'gaze_vector_y':-0.9638921, 'gaze_vector_z':0.2562187
'gaze_vector':0.7965549, 'gaze_vector_x':-0.06685366, 'gaze_vector_y':-0.9632411, 'gaze_vector_z':0.2601213
'gaze_vector':0.8071799, 'gaze_vector_x':-0.0675157, 'gaze_vector_y':-0.9641312, 'gaze_vector_z':0.2566556
'gaze_vector':0.8203943, 'gaze_vector_x':-0.06432033, 'gaze_vector_y':-0.9650165, 'gaze_vector_z':0.2541486
'gaze_vector':0.8362288, 'gaze_vector_x':-0.06523164, 'gaze_vector_y':-0.9654571, 'gaze_vector_z':0.2522092
'gaze_vector':0.8464724, 'gaze_vector_x':-0.06556035, 'gaze_vector_y':-0.9657794, 'gaze_vector_z':0.2508643
'gaze_vector':0.8574067, 'gaze_vector_x':-0.06432002, 'gaze_vector_y':-0.9664825, 'gaze_vector_z':0.2484785
'gaze_vector':0.8685735, 'gaze_vector_x':-0.06394686, 'gaze_vector_y':-0.9647552, 'gaze_vector_z':0.2551989
'gaze_vector':0.8796273, 'gaze_vector_x':-0.05012809, 'gaze_vector_y':-0.964704, 'gaze_vector_z':0.2584563
'gaze_vector':0.8906293, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9020022, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9140995, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9248356, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9357335, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9482145, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9595053, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9713985, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9871664, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.998643, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.010065, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.022481, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.036306, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.046606, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.058419, 'gaze_vector_x':-0.01183131, 'gaze_vector_y':-0.9863454, 'gaze_vector_z':0.1641503
'gaze_vector':1.069094, 'gaze_vector_x':-0.00690892, 'gaze_vector_y':-0.9756472, 'gaze_vector_z':0.2191622
'gaze_vector':1.079735, 'gaze_vector_x':-0.1721015, 'gaze_vector_y':-0.9567756, 'gaze_vector_z':0.2343775
'gaze_vector':1.090784, 'gaze_vector_x':0.05140814, 'gaze_vector_y':-0.9650306, 'gaze_vector_z':0.2570179
'gaze_vector':1.10183, 'gaze_vector_x':-0.02713627, 'gaze_vector_y':-0.9529039, 'gaze_vector_z':0.3020312
'gaze_vector':1.114877, 'gaze_vector_x':0.009339891, 'gaze_vector_y':-0.9435782, 'gaze_vector_z':0.3309693
'gaze_vector':1.124988, 'gaze_vector_x':-0.005584516, 'gaze_vector_y':-0.9358696, 'gaze_vector_z':0.3522713
'gaze_vector':1.140594, 'gaze_vector_x':-0.03375141, 'gaze_vector_y':-0.9523841, 'gaze_vector_z':0.3029614
'gaze_vector':1.151813, 'gaze_vector_x':-0.1082518, 'gaze_vector_y':-0.9439064, 'gaze_vector_z':0.3119321
'gaze_vector':1.163047, 'gaze_vector_x':-0.09360943, 'gaze_vector_y':-0.9394969, 'gaze_vector_z':0.3294959
'gaze_vector':1.17348, 'gaze_vector_x':-0.1106221, 'gaze_vector_y':-0.9379488, 'gaze_vector_z':0.3286328
'gaze_vector':1.185052, 'gaze_vector_x':-0.0825657, 'gaze_vector_y':-0.9411315, 'gaze_vector_z':0.3277615
'gaze_vector':1.19725, 'gaze_vector_x':-0.0915907, 'gaze_vector_y':-0.9408212, 'gaze_vector_z':0.3262532
'gaze_vector':1.207919, 'gaze_vector_x':-0.1067167, 'gaze_vector_y':-0.9351175, 'gaze_vector_z':0.3378322
'gaze_vector':1.222573, 'gaze_vector_x':-0.1113286, 'gaze_vector_y':-0.9334694, 'gaze_vector_z':0.3409292
'gaze_vector':1.243201, 'gaze_vector_x':-0.1104402, 'gaze_vector_y':-0.932999, 'gaze_vector_z':0.3424938
'gaze_vector':1.255122, 'gaze_vector_x':-0.1132537, 'gaze_vector_y':-0.9314871, 'gaze_vector_z':0.3456522
'gaze_vector':1.267416, 'gaze_vector_x':-0.1029823, 'gaze_vector_y':-0.9321343, 'gaze_vector_z':0.3471344
'gaze_vector':1.281596, 'gaze_vector_x':-0.1080234, 'gaze_vector_y':-0.9313626, 'gaze_vector_z':0.3476685
'gaze_vector':1.298184, 'gaze_vector_x':-0.1078771, 'gaze_vector_y':-0.931254, 'gaze_vector_z':0.3480123
'gaze_vector':1.308447, 'gaze_vector_x':-0.1052033, 'gaze_vector_y':-0.9303367, 'gaze_vector_z':0.3512416
'gaze_vector':1.320991, 'gaze_vector_x':-0.1041122, 'gaze_vector_y':-0.9295322, 'gaze_vector_z':0.3536827
'gaze_vector':1.331259, 'gaze_vector_x':-0.1030154, 'gaze_vector_y':-0.9293262, 'gaze_vector_z':0.3545762
'gaze_vector':1.340715, 'gaze_vector_x':-0.1005195, 'gaze_vector_y':-0.9291798, 'gaze_vector_z':0.3556852
'gaze_vector':1.352357, 'gaze_vector_x':-0.09544542, 'gaze_vector_y':-0.9312227, 'gaze_vector_z':0.3516781
'gaze_vector':1.364359, 'gaze_vector_x':-0.101345, 'gaze_vector_y':-0.9303378, 'gaze_vector_z':0.3523982
'gaze_vector':1.374763, 'gaze_vector_x':-0.05596114, 'gaze_vector_y':-0.9298541, 'gaze_vector_z':0.3636103
'gaze_vector':1.385802, 'gaze_vector_x':-0.08845287, 'gaze_vector_y':-0.9304007, 'gaze_vector_z':0.3556945
'gaze_vector':1.397737, 'gaze_vector_x':-0.09523274, 'gaze_vector_y':-0.9305815, 'gaze_vector_z':0.3534319
'gaze_vector':1.411234, 'gaze_vector_x':-0.0951076, 'gaze_vector_y':-0.928531, 'gaze_vector_z':0.358833
'gaze_vector':1.42626, 'gaze_vector_x':-0.09359965, 'gaze_vector_y':-0.9287157, 'gaze_vector_z':0.3587435
'gaze_vector':1.437088, 'gaze_vector_x':-0.0956547, 'gaze_vector_y':-0.9288843, 'gaze_vector_z':0.3577862
'gaze_vector':1.453104, 'gaze_vector_x':-0.09507427, 'gaze_vector_y':-0.9294494, 'gaze_vector_z':0.3564508
'gaze_vector':1.465586, 'gaze_vector_x':-0.09729156, 'gaze_vector_y':-0.9277306, 'gaze_vector_z':0.360307
'gaze_vector':1.478384, 'gaze_vector_x':-0.09677289, 'gaze_vector_y':-0.927817, 'gaze_vector_z':0.3602164
'gaze_vector':1.489446, 'gaze_vector_x':-0.09685376, 'gaze_vector_y':-0.9272224, 'gaze_vector_z':0.3617331
'gaze_vector':1.501351, 'gaze_vector_x':-0.09969006, 'gaze_vector_y':-0.927321, 'gaze_vector_z':0.3607149
'gaze_vector':1.514648, 'gaze_vector_x':-0.09868215, 'gaze_vector_y':-0.9275211, 'gaze_vector_z':0.3604841
'gaze_vector':1.52627, 'gaze_vector_x':-0.09759623, 'gaze_vector_y':-0.9274827, 'gaze_vector_z':0.3608648
'gaze_vector':1.536843, 'gaze_vector_x':-0.09646724, 'gaze_vector_y':-0.9280508, 'gaze_vector_z':0.3597154
'gaze_vector':1.548624, 'gaze_vector_x':-0.09721777, 'gaze_vector_y':-0.9286961, 'gaze_vector_z':0.3578527
'gaze_vector':1.557897, 'gaze_vector_x':-0.09728334, 'gaze_vector_y':-0.9325143, 'gaze_vector_z':0.3477542
'gaze_vector':1.57024, 'gaze_vector_x':-0.09820567, 'gaze_vector_y':-0.9265418, 'gaze_vector_z':0.363108
'gaze_vector':1.58223, 'gaze_vector_x':-0.1184031, 'gaze_vector_y':-0.9385213, 'gaze_vector_z':0.324254
'gaze_vector':1.594568, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.609691, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.620239, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.631593, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.644175, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.658488, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
