'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':0.09830093, 'head_position_y':0.9799575, 'head_position_z':-0.3779287
'global_time':0.4276065, 'head_position_x':0.09017679, 'head_position_y':0.9769766, 'head_position_z':-0.3760404
'global_time':0.441467, 'head_position_x':0.08961878, 'head_position_y':0.9768324, 'head_position_z':-0.3758059
'global_time':0.454369, 'head_position_x':0.08938266, 'head_position_y':0.9767969, 'head_position_z':-0.375692
'global_time':0.465445, 'head_position_x':0.08920937, 'head_position_y':0.9768135, 'head_position_z':-0.3756705
'global_time':0.4752154, 'head_position_x':0.08902213, 'head_position_y':0.9767843, 'head_position_z':-0.3756334
'global_time':0.4867216, 'head_position_x':0.08893026, 'head_position_y':0.976679, 'head_position_z':-0.3756445
'global_time':0.4963375, 'head_position_x':0.08875494, 'head_position_y':0.9765959, 'head_position_z':-0.375621
'global_time':0.5062315, 'head_position_x':0.0885601, 'head_position_y':0.9766137, 'head_position_z':-0.3755423
'global_time':0.5191497, 'head_position_x':0.08840152, 'head_position_y':0.9765562, 'head_position_z':-0.3755198
'global_time':0.5295836, 'head_position_x':0.0882716, 'head_position_y':0.9765068, 'head_position_z':-0.3753961
'global_time':0.5399229, 'head_position_x':0.08811955, 'head_position_y':0.9764335, 'head_position_z':-0.375336
'global_time':0.550107, 'head_position_x':0.08800945, 'head_position_y':0.9764249, 'head_position_z':-0.3752843
'global_time':0.5596573, 'head_position_x':0.0878717, 'head_position_y':0.976368, 'head_position_z':-0.3752692
'global_time':0.5700058, 'head_position_x':0.08778221, 'head_position_y':0.9763082, 'head_position_z':-0.3752609
'global_time':0.5811129, 'head_position_x':0.08768266, 'head_position_y':0.9762321, 'head_position_z':-0.375243
'global_time':0.5922301, 'head_position_x':0.08755367, 'head_position_y':0.9761904, 'head_position_z':-0.3752194
