'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':-0.06786717, 'head_vector_y':-0.6168031, 'head_vector_z':0.7841862
'global_time':0.4276065, 'head_vector_x':-0.1326019, 'head_vector_y':-0.6454087, 'head_vector_z':0.7522395
'global_time':0.441467, 'head_vector_x':-0.1363407, 'head_vector_y':-0.6462471, 'head_vector_z':0.7508501
'global_time':0.454369, 'head_vector_x':-0.1373869, 'head_vector_y':-0.6462973, 'head_vector_z':0.7506161
'global_time':0.465445, 'head_vector_x':-0.1387932, 'head_vector_y':-0.6463395, 'head_vector_z':0.7503211
'global_time':0.4752154, 'head_vector_x':-0.1399414, 'head_vector_y':-0.646725, 'head_vector_z':0.7497754
'global_time':0.4867216, 'head_vector_x':-0.1412045, 'head_vector_y':-0.6471236, 'head_vector_z':0.7491945
'global_time':0.4963375, 'head_vector_x':-0.1422561, 'head_vector_y':-0.6474852, 'head_vector_z':0.7486829
'global_time':0.5062315, 'head_vector_x':-0.1434586, 'head_vector_y':-0.6477075, 'head_vector_z':0.748261
'global_time':0.5191497, 'head_vector_x':-0.1446131, 'head_vector_y':-0.6480969, 'head_vector_z':0.7477015
'global_time':0.5295836, 'head_vector_x':-0.1459932, 'head_vector_y':-0.6484677, 'head_vector_z':0.7471115
'global_time':0.5399229, 'head_vector_x':-0.1472657, 'head_vector_y':-0.6485023, 'head_vector_z':0.7468317
'global_time':0.550107, 'head_vector_x':-0.148692, 'head_vector_y':-0.6487048, 'head_vector_z':0.7463731
'global_time':0.5596573, 'head_vector_x':-0.1500087, 'head_vector_y':-0.6490747, 'head_vector_z':0.7457878
'global_time':0.5700058, 'head_vector_x':-0.1512813, 'head_vector_y':-0.6496078, 'head_vector_z':0.7450662
'global_time':0.5811129, 'head_vector_x':-0.1527843, 'head_vector_y':-0.6501756, 'head_vector_z':0.7442639
'global_time':0.5922301, 'head_vector_x':-0.1540307, 'head_vector_y':-0.6506745, 'head_vector_z':0.7435706
'global_time':0.6040769, 'head_vector_x':-0.1551768, 'head_vector_y':-0.6512464, 'head_vector_z':0.7428312
'global_time':0.6145524, 'head_vector_x':-0.1562888, 'head_vector_y':-0.651911, 'head_vector_z':0.7420148
'global_time':0.6250658, 'head_vector_x':-0.1573177, 'head_vector_y':-0.6524302, 'head_vector_z':0.7413407
'global_time':0.6363173, 'head_vector_x':-0.1585358, 'head_vector_y':-0.6525936, 'head_vector_z':0.7409372
'global_time':0.6493737, 'head_vector_x':-0.1595647, 'head_vector_y':-0.6530567, 'head_vector_z':0.740308
'global_time':0.6605305, 'head_vector_x':-0.1604116, 'head_vector_y':-0.6537263, 'head_vector_z':0.7395337
'global_time':0.6759532, 'head_vector_x':-0.1612682, 'head_vector_y':-0.654319, 'head_vector_z':0.7388229
'global_time':0.688174, 'head_vector_x':-0.1623525, 'head_vector_y':-0.6546448, 'head_vector_z':0.7382965
'global_time':0.702654, 'head_vector_x':-0.1634437, 'head_vector_y':-0.6552566, 'head_vector_z':0.7375127
'global_time':0.7126784, 'head_vector_x':-0.1646072, 'head_vector_y':-0.6558861, 'head_vector_z':0.7366939
'global_time':0.7253844, 'head_vector_x':-0.1665749, 'head_vector_y':-0.6563185, 'head_vector_z':0.7358661
'global_time':0.7401559, 'head_vector_x':-0.1671858, 'head_vector_y':-0.6565225, 'head_vector_z':0.7355455
'global_time':0.7518336, 'head_vector_x':-0.1678275, 'head_vector_y':-0.6567889, 'head_vector_z':0.7351614
'global_time':0.7630098, 'head_vector_x':-0.1683034, 'head_vector_y':-0.6573442, 'head_vector_z':0.7345561
'global_time':0.7735674, 'head_vector_x':-0.1690317, 'head_vector_y':-0.65785, 'head_vector_z':0.7339357
'global_time':0.7850268, 'head_vector_x':-0.1693441, 'head_vector_y':-0.6583111, 'head_vector_z':0.7334501
'global_time':0.7965549, 'head_vector_x':-0.1699782, 'head_vector_y':-0.6586507, 'head_vector_z':0.7329985
'global_time':0.8071799, 'head_vector_x':-0.1705354, 'head_vector_y':-0.6588878, 'head_vector_z':0.7326559
'global_time':0.8203943, 'head_vector_x':-0.1707021, 'head_vector_y':-0.659008, 'head_vector_z':0.7325089
'global_time':0.8362288, 'head_vector_x':-0.1713465, 'head_vector_y':-0.6589586, 'head_vector_z':0.7324029
'global_time':0.8464724, 'head_vector_x':-0.1721054, 'head_vector_y':-0.6589712, 'head_vector_z':0.7322136
'global_time':0.8574067, 'head_vector_x':-0.1723613, 'head_vector_y':-0.659177, 'head_vector_z':0.731968
'global_time':0.8685735, 'head_vector_x':-0.1724602, 'head_vector_y':-0.6590615, 'head_vector_z':0.7320489
'global_time':0.8796273, 'head_vector_x':-0.1725076, 'head_vector_y':-0.6589811, 'head_vector_z':0.73211
'global_time':0.8906293, 'head_vector_x':-0.1725047, 'head_vector_y':-0.6587611, 'head_vector_z':0.7323085
'global_time':0.9020022, 'head_vector_x':-0.1721048, 'head_vector_y':-0.6585785, 'head_vector_z':0.732567
'global_time':0.9140995, 'head_vector_x':-0.1719733, 'head_vector_y':-0.6584558, 'head_vector_z':0.7327082
