'global_time':4.192539, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.775012, 'gaze_y':2.824485, 'gaze_z':4.944885, 'useGaze': True
'global_time':4.67581, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.933676, 'gaze_y':2.228025, 'gaze_z':0.1601321, 'useGaze': True
'global_time':5.047321, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.535942, 'gaze_y':1.017146, 'gaze_z':4.945327, 'useGaze': True
'global_time':5.587006, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.661314, 'gaze_y':2.279536, 'gaze_z':4.935512, 'useGaze': True
'global_time':5.866918, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.1303, 'gaze_y':2.592654, 'gaze_z':4.932715, 'useGaze': True
'global_time':5.948612, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.943665, 'gaze_y':2.524365, 'gaze_z':3.371792, 'useGaze': True
'global_time':6.114978, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.93607, 'gaze_y':2.431191, 'gaze_z':1.91091, 'useGaze': True
'global_time':6.4417, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.446913, 'gaze_y':1.384811, 'gaze_z':4.940238, 'useGaze': True
'global_time':6.7548, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.940035, 'gaze_y':2.336999, 'gaze_z':3.819774, 'useGaze': True
'global_time':7.066103, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.933954, 'gaze_y':1.485593, 'gaze_z':4.939655, 'useGaze': True
'global_time':7.370596, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.940836, 'gaze_y':1.063988, 'gaze_z':2.242264, 'useGaze': True
'global_time':7.773276, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.9457917, 'gaze_y':2.08023, 'gaze_z':4.942704, 'useGaze': True
'global_time':7.919768, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.6116822, 'gaze_y':2.229477, 'gaze_z':4.93734, 'useGaze': True
'global_time':8.28385, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.878089, 'gaze_y':2.131718, 'gaze_z':4.935573, 'useGaze': True
'global_time':8.707617, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.937094, 'gaze_y':1.271719, 'gaze_z':0.4632045, 'useGaze': True
'global_time':9.174843, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.449365, 'gaze_y':2.453289, 'gaze_z':4.945835, 'useGaze': True
